id,url,school_link,school_number,student_number,sex,div_point,div,grades,school_name,school_tats
"1548675332-4493","https://matokeo.necta.go.tz/csee/csee.htm","S0601 SERENGETI DAY","https://matokeo.necta.go.tz/csee/results/s0601.htm","S0601/0001","F","26","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   PHY - 'F'   CHEM - 'D'   BIO - 'D'   B/MATH - 'F'","S0601 SERENGETI DAY SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 2;  DIV-III = 15;  DIV-IV = 47;  DIV-0 = 60"
"1548679827-5916","https://matokeo.necta.go.tz/csee/csee.htm","P0203 IRINGA GIRLS  CENTRE","https://matokeo.necta.go.tz/csee/results/p0203.htm","P0203/0001","F","-","0","CIV - 'F'   HIST - 'F'   ENGL - 'F'   CHEM - 'F'   BIO - 'F'","P0203 IRINGA GIRLS SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 2;  DIV-III = 17;  DIV-IV = 112;  DIV-0 = 45"
"1548678358-5327","https://matokeo.necta.go.tz/csee/csee.htm","P1639 MSERU  CENTRE","https://matokeo.necta.go.tz/csee/results/p1639.htm","P1639/0001","F","-","ABS","HIST - 'X'   KISW - 'X'   ENGL - 'X'   BIO - 'X'","P1639 MSERU SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 3;  DIV-IV = 58;  DIV-0 = 27"
"1548656812-213","https://matokeo.necta.go.tz/csee/csee.htm","S5244 WAJA BOYS","https://matokeo.necta.go.tz/csee/results/s5244.htm","S5244/0001","M","16","I","CIV - 'C'   HIST - 'C'   GEO - 'C'   KISW - 'A'   ENGL - 'A'   PHY - 'C'   CHEM - 'C'   BIO - 'B'   B/MATH - 'C'","S5244 WAJA BOYS SECONDARY SCHOOL","DIV-I = 29;  DIV-II = 11;  DIV-III = 0;  DIV-IV = 0;  DIV-0 = 0"
"1548676614-4756","https://matokeo.necta.go.tz/csee/csee.htm","S0259 SAMARITAN GIRLS","https://matokeo.necta.go.tz/csee/results/s0259.htm","S0259/0001","F","24","III","CIV - 'D'   HIST - 'C'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   LIT ENG - 'D'   BIO - 'C'   B/MATH - 'D'","S0259 SAMARITAN GIRLS SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 8;  DIV-III = 12;  DIV-IV = 30;  DIV-0 = 1"
"1548669468-3204","https://matokeo.necta.go.tz/csee/csee.htm","S2026 DAHANI","https://matokeo.necta.go.tz/csee/results/s2026.htm","S2026/0002","F","31","IV","CIV - 'D'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'D'   PHY - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S2026 DAHANI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 1;  DIV-IV = 33;  DIV-0 = 19"
"1548676976-4843","https://matokeo.necta.go.tz/csee/csee.htm","S0147 PUGU","https://matokeo.necta.go.tz/csee/results/s0147.htm","S0147/0001","M","24","III","CIV - 'C'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   PHY - 'D'   CHEM - 'D'   BIO - 'C'   AGRI - 'F'   B/MATH - 'F'","S0147 PUGU SECONDARY SCHOOL","DIV-I = 12;  DIV-II = 28;  DIV-III = 28;  DIV-IV = 32;  DIV-0 = 11"
"1548666912-2596","https://matokeo.necta.go.tz/csee/csee.htm","S2664 LIPULI","https://matokeo.necta.go.tz/csee/results/s2664.htm","S2664/0001","F","31","IV","CIV - 'D'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'D'   BIO - 'D'   B/MATH - 'F'","S2664 LIPULI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 4;  DIV-III = 16;  DIV-IV = 39;  DIV-0 = 11"
"1548656612-149","https://matokeo.necta.go.tz/csee/csee.htm","S5326 KIUMAKO","https://matokeo.necta.go.tz/csee/results/s5326.htm","S5326/0001","F","35","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'F'   ENGL - 'F'   PHY - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S5326 KIUMAKO SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 1;  DIV-III = 0;  DIV-IV = 10;  DIV-0 = 8"
"1548678707-5469","https://matokeo.necta.go.tz/csee/csee.htm","P1265 NKOANRUA  CENTRE","https://matokeo.necta.go.tz/csee/results/p1265.htm","P1265/0001","F","-","ABS","CIV - 'X'   HIST - 'X'   GEO - 'X'   KISW - 'X'   ENGL - 'X'   BIO - 'X'   B/MATH - 'X'","P1265 NKOANRUA SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 4;  DIV-0 = 2"
"1548667816-2809","https://matokeo.necta.go.tz/csee/csee.htm","S2435 MDIMBA","https://matokeo.necta.go.tz/csee/results/s2435.htm","S2435/0001","F","33","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'D'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S2435 MDIMBA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 2;  DIV-III = 2;  DIV-IV = 41;  DIV-0 = 18"
"1548677943-5150","https://matokeo.necta.go.tz/csee/csee.htm","P3330 ZIRAI SECONDARI SCHOOL CENTRE","https://matokeo.necta.go.tz/csee/results/p3330.htm","P3330/0001","F","35","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'F'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","P3330 ZIRAI SECONDARI SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 3;  DIV-0 = 5"
"1548656658-169","https://matokeo.necta.go.tz/csee/csee.htm","S5304 MPESU","https://matokeo.necta.go.tz/csee/results/s5304.htm","S5304/0001","F","-","ABS","CIV - 'X'   HIST - 'X'   GEO - 'X'   KISW - 'X'   ENGL - 'X'   PHY - 'X'   CHEM - 'X'   BIO - 'X'   B/MATH - 'X'","S5304 MPESU SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 1;  DIV-IV = 25;  DIV-0 = 8"
"1548660948-1131","https://matokeo.necta.go.tz/csee/csee.htm","S4186 LYCEUM","https://matokeo.necta.go.tz/csee/results/s4186.htm","S4186/0001","F","30","IV","CIV - 'F'   HIST - 'D'   GEO - 'F'   KISW - 'D'   ENGL - 'C'   BIO - 'D'   B/MATH - 'F'   COMM - 'F'   B/KEEPING - 'F'","S4186 LYCEUM SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 3;  DIV-IV = 7;  DIV-0 = 4"
"1548660597-1027","https://matokeo.necta.go.tz/csee/csee.htm","S4306 HEREMBE","https://matokeo.necta.go.tz/csee/results/s4306.htm","S4306/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S4306 HEREMBE SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 0;  DIV-III = 4;  DIV-IV = 10;  DIV-0 = 10"
"1548677789-5085","https://matokeo.necta.go.tz/csee/csee.htm","P3827 NYIHOGO  CENTRE","https://matokeo.necta.go.tz/csee/results/p3827.htm","P3827/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","P3827 NYIHOGO SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 2;  DIV-IV = 10;  DIV-0 = 3"
"1548660761-1063","https://matokeo.necta.go.tz/csee/csee.htm","S4265 RUBUGA","https://matokeo.necta.go.tz/csee/results/s4265.htm","S4265/0001","F","35","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'F'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S4265 RUBUGA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 2;  DIV-III = 1;  DIV-IV = 9;  DIV-0 = 7"
"1548669118-3114","https://matokeo.necta.go.tz/csee/csee.htm","S2117 IGALUKILO","https://matokeo.necta.go.tz/csee/results/s2117.htm","S2117/0001","F","33","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'D'   LIT ENG - 'F'   PHY - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S2117 IGALUKILO SECONDARY SCHOOL","DIV-I = 3;  DIV-II = 6;  DIV-III = 13;  DIV-IV = 22;  DIV-0 = 20"
"1548663248-1787","https://matokeo.necta.go.tz/csee/csee.htm","S3484 NYUGWA","https://matokeo.necta.go.tz/csee/results/s3484.htm","S3484/0001","F","26","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   PHY - 'F'   CHEM - 'D'   BIO - 'C'   B/MATH - 'F'","S3484 NYUGWA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 4;  DIV-III = 20;  DIV-IV = 38;  DIV-0 = 15"
"1548659129-719","https://matokeo.necta.go.tz/csee/csee.htm","S4674 UTENDE","https://matokeo.necta.go.tz/csee/results/s4674.htm","S4674/0001","F","25","III","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   LIT ENG - 'D'   BIO - 'C'   B/MATH - 'F'","S4674 UTENDE SECONDARY SCHOOL","DIV-I = 2;  DIV-II = 8;  DIV-III = 3;  DIV-IV = 10;  DIV-0 = 5"
"1548662852-1707","https://matokeo.necta.go.tz/csee/csee.htm","S3566 MNARA","https://matokeo.necta.go.tz/csee/results/s3566.htm","S3566/0001","F","32","IV","CIV - 'F'   HIST - 'D'   GEO - 'F'   KISW - 'C'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S3566 MNARA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 2;  DIV-III = 10;  DIV-IV = 37;  DIV-0 = 0"
"1548657146-289","https://matokeo.necta.go.tz/csee/csee.htm","S5162 UNIQUE LEARNING","https://matokeo.necta.go.tz/csee/results/s5162.htm","S5162/0001","F","26","IV","CIV - 'F'   HIST - 'D'   GEO - 'D'   B/KNOWL - 'D'   KISW - 'C'   ENGL - 'C'   BIO - 'C'   B/MATH - 'F'","S5162 UNIQUE LEARNING SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 3;  DIV-IV = 11;  DIV-0 = 3"
"1548657367-337","https://matokeo.necta.go.tz/csee/csee.htm","S5104 MUSA AKASHA","https://matokeo.necta.go.tz/csee/results/s5104.htm","S5104/0001","F","30","IV","CIV - 'F'   HIST - 'D'   GEO - 'D'   B/KNOWL - 'F'   KISW - 'C'   ENGL - 'D'   BIO - 'F'   B/MATH - 'F'","S5104 MUSA AKASHA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 5;  DIV-III = 5;  DIV-IV = 15;  DIV-0 = 0"
"1548674005-4226","https://matokeo.necta.go.tz/csee/csee.htm","S0900 MWIGO","https://matokeo.necta.go.tz/csee/results/s0900.htm","S0900/0001","F","24","III","CIV - 'C'   HIST - 'C'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   LIT ENG - 'D'   BIO - 'D'   B/MATH - 'F'","S0900 MWIGO SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 7;  DIV-III = 29;  DIV-IV = 49;  DIV-0 = 8"
"1548657281-319","https://matokeo.necta.go.tz/csee/csee.htm","S5124 ST. MAXIMILLIAN","https://matokeo.necta.go.tz/csee/results/s5124.htm","S5124/0001","F","8","I","CIV - 'B'   HIST - 'B'   GEO - 'C'   KISW - 'A'   ENGL - 'A'   LIT ENG - 'A'   PHY - 'C'   CHEM - 'A'   BIO - 'A'   B/MATH - 'A'","S5124 ST. MAXIMILLIAN SECONDARY SCHOOL","DIV-I = 16;  DIV-II = 7;  DIV-III = 2;  DIV-IV = 0;  DIV-0 = 0"
"1548667240-2675","https://matokeo.necta.go.tz/csee/csee.htm","S2583 PANDE","https://matokeo.necta.go.tz/csee/results/s2583.htm","S2583/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S2583 PANDE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 12;  DIV-0 = 19"
"1548676147-4657","https://matokeo.necta.go.tz/csee/csee.htm","S0391 HAILE SELASSIE","https://matokeo.necta.go.tz/csee/results/s0391.htm","S0391/0001","F","33","IV","CIV - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   PHY EDU - 'F'   KISW - 'D'   ENGL - 'F'   PHY - 'F'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S0391 HAILE SELASSIE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 2;  DIV-III = 11;  DIV-IV = 132;  DIV-0 = 103"
"1548678003-5175","https://matokeo.necta.go.tz/csee/csee.htm","P2821 DINAMU  CENTRE","https://matokeo.necta.go.tz/csee/results/p2821.htm","P2821/0001","F","-","ABS","ENGL - 'X'   PHY - 'X'   CHEM - 'X'   BIO - 'X'   B/MATH - 'X'","P2821 DINAMU SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 2;  DIV-IV = 13;  DIV-0 = 4"
"1548670061-3338","https://matokeo.necta.go.tz/csee/csee.htm","S1881 MAHEGE","https://matokeo.necta.go.tz/csee/results/s1881.htm","S1881/0001","F","32","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'C'   ENGL - 'D'   BIO - 'F'   B/MATH - 'F'","S1881 MAHEGE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 3;  DIV-IV = 24;  DIV-0 = 4"
"1548661866-1491","https://matokeo.necta.go.tz/csee/csee.htm","S3802 MUKA","https://matokeo.necta.go.tz/csee/results/s3802.htm","S3802/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S3802 MUKA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 2;  DIV-III = 15;  DIV-IV = 49;  DIV-0 = 24"
"1548666560-2519","https://matokeo.necta.go.tz/csee/csee.htm","S2743 DALUNI","https://matokeo.necta.go.tz/csee/results/s2743.htm","S2743/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S2743 DALUNI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 3;  DIV-III = 7;  DIV-IV = 30;  DIV-0 = 9"
"1548662962-1729","https://matokeo.necta.go.tz/csee/csee.htm","S3544 LIGUNGA","https://matokeo.necta.go.tz/csee/results/s3544.htm","S3544/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'D'   ENGL - 'F'   LIT ENG - 'F'   BIO - 'F'   B/MATH - 'F'","S3544 LIGUNGA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 3;  DIV-III = 6;  DIV-IV = 13;  DIV-0 = 9"
"1548661987-1514","https://matokeo.necta.go.tz/csee/csee.htm","S3778 DOHOM","https://matokeo.necta.go.tz/csee/results/s3778.htm","S3778/0001","F","29","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'D'   ENGL - 'D'   LIT ENG - 'F'   PHY - 'X'   CHEM - 'X'   BIO - 'D'   B/MATH - 'F'","S3778 DOHOM  SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 4;  DIV-III = 7;  DIV-IV = 11;  DIV-0 = 2"
"1548678097-5214","https://matokeo.necta.go.tz/csee/csee.htm","P2420 ZIWANI PEMBA  CENTRE","https://matokeo.necta.go.tz/csee/results/p2420.htm","P2420/0001","M","-","0","GEO - 'X'   PHY - 'F'   CHEM - 'D'   B/MATH - 'F'","P2420 ZIWANI PEMBA SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 1;  DIV-0 = 1"
